respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,sample1_code,sample1_format,sample2_code,sample2_format,child_age_years,selection_criteria_other_text,open_q14_most_important,open_q15_what_avoid,notes,child_gender,preschool_children_in_family,weekday_video_time,primary_device,content_chooser,co_viewing_frequency,precheck_frequency,selection_criteria_multi,content_quality_concern_1_5,knows_ai_content,has_given_ai_content,negative_reaction_seen,youtube_trust_1_5,sample1_likes,sample1_positive_value,sample1_safe,sample1_language_quality,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_show,sample2_likes,sample2_positive_value,sample2_safe,sample2_language_quality,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_show
P-02-03,Б-02-03-T9V1,Б,parent,02,03,paper,,T9,text,V1,video,4,,"моральні цінності, відповідність віковим вимогам","російська мова, насильство",,дівчинка,1,До 30 хв.,Смартфон,Разом,Часто,Часто,"Позитивні цінності; Дитині подобається",3,Ні,Можливо,"Так, неодноразово",4,5,5,5,5,5,5,Традиційний,Так,5,4,4,4,5,4,Важко сказати,Скоріше так
P-02-06,Б-02-06-T4V2,Б,parent,02,06,paper,,T4,text,V2,video,5,,"«Повчальний, позитивний, якісна українська мова.»","«Насилля, нецензурна лексика.»",,хлопчик,2,1–2 год.,Телевізор,Разом,Іноді,Іноді,"Позитивні цінності; Без насилля; Дитині подобається",5,Так,Ні,Ні,2,5,5,5,5,5,5,Традиційний,Так,5,2,5,5,5,4,Важко сказати,Скоріше так
P-02-01,Б-02-01-T5V2,Б,parent,02,01,paper,,T5,text,V2,video,4,,Позитивні цінності,Насилля,,хлопчик,1,До 30 хв.,ПК / ноутбук,Разом,Іноді,Завжди,"Позитивні цінності; Хороша мова",4,Так,Ні,Ні,4,4,5,5,5,5,5,Традиційний,Так,4,4,4,5,5,5,Важко сказати,Скоріше так
P-03-01,Б-03-01-T8V5,Б,parent,03,01,paper,,T8,text,V5,video,5,,"«відповідність віку»
«українська мова»
«позитивні цінності»","«російська мова»
«насилля»
«відсутність сюжету»
«пропаганда»",,хлопчик,1,До 30 хв.,Телевізор,Разом,Часто,Завжди,"Позитивні цінності; Без насилля; Хороша мова",,,,,2,4,5,5,5,4,4,Важко сказати,Так,4,5,4,4,4,4,ШІ,Скоріше так
P-03-02,Б-03-02-T7V6,Б,parent,03,02,paper,,T7,text,V6,video,4,,"«Позитивний приклад та повчальний зміст; гарна анімація з помірними кольорами; без насилля та нецензурної лексики.»","«Російської мови та їхніх мультфільмів; жорстоких чи дивних.»",,хлопчик,1,30–60 хв.,Телевізор,Я сам/-а,Завжди,Іноді,"Без насилля; Хороша мова; Дитині подобається",5,Так,Можливо,Ні,3,5,5,5,4,4,5,Традиційний,Так,3,2,2,2,2,1,ШІ,Скоріше ні
P-02-08,Б-02-08-T6V1,Б,parent,02,08,paper,,T6,text,V1,video,6,,"«Відповідає віку дітей, з моральним змістом, цінностями, де вирішуються складні ситуації. Яскрава, не має довгого сюжету.»","«травматичного контенту»
«негативних емоцій»
«субтитрів»
«фільмів»",,хлопчик,2,1–2 год.,Телевізор,Дитина,Іноді,Часто,"Позитивні цінності; Без насилля; Спокійний темп; Хороша мова; Дитині подобається",5,Так,Можливо,"Так, неодноразово",1,5,5,5,5,5,5,ШІ,Скоріше так,3,2,2,4,4,3,ШІ,Скоріше ні
P-03-01,Б-03-01-T8V5,Б,parent,03,01,paper,,T8,text,V5,video,5,,"«Мультфільм повинен відповідати віку, доступність.»",«Негативу і страху.»,,дівчинка,2,30–60 хв.,Телевізор,Разом,Рідко,Часто,"Позитивні цінності; Спокійний темп; Дитині подобається",4,Так,Ні,Ні,4,3,3,4,3,3,3,Важко сказати,Скоріше так,2,2,2,2,2,2,Важко сказати,
P-04-03,Б-04-03-T2V5,Б,parent,04,03,paper,,T2,text,V5,video,5,Українська мова,"«позитивний приклад»
«українською мовою»
«повчальний контент»","«блогерів»
«ворожої мови»
«контент, який містить жорстокість, агресію»",,дівчинка,1,30–60 хв.,Планшет,Разом,Іноді,Іноді,"Позитивні цінності; Хороша мова; Дитині подобається; Інше",2,Так,Можливо,"Так, один раз",4,4,5,5,5,4,4,Важко сказати,Скоріше так,5,5,5,5,5,5,ШІ,Так
P-03-05,Б-03-05-T4V4,Б,parent,03,05,paper,,T4,text,V4,video,5,,"«Вік, мораль і цінності, безпечний зміст, позитивні герої, зрозумілий сюжет, мовлення, тривалість, пізнавальність, емоційний комфорт.»","«Агресії та насильства, страшних сцен, негативних моделей поведінки, перевантаження, дорослого контенту, грубої мови, реклами та рекламного впливу, нелогічного сюжету.»",,хлопчик,1,Більше 2 год.,Планшет,Дитина,Іноді,Іноді,"Позитивні цінності; Без насилля; Хороша мова",5,Так,"Так, свідомо",Ні,3,5,5,5,5,5,5,Традиційний,Так,4,4,5,4,5,4,ШІ,Скоріше так
P-03-03,Б-03-03-T9V3,Б,parent,03,03,paper,,T9,text,V3,video,6,,"«Доступність, … а коректність сприймається … весь матеріал.»",«російської мови»,,хлопчик,1,30–60 хв.,Телевізор,Дитина,Часто,Іноді,"Позитивні цінності; Без насилля; Спокійний темп; Хороша мова",5,Так,"Так, свідомо",Ні,5,1,5,5,5,5,5,Традиційний,Скоріше так,5,5,5,5,5,5,ШІ,
